Unnamed: 0,id,text,is_retweet,is_deleted,device,favorites,retweets,datetime,is_flagged,date,sentiment
0,9.84549706549166e+16,Republicans and Democrats have both created our economic problems.,False,False,TweetDeck,49,255,2011-08-02T18:07:48Z,False,2011-08-02,0.2589765526354313
1,1.2346534277890703e+18,"I was thrilled to be back in the Great city of Charlotte, North Carolina with thousands of hardworking American Patriots who love our Country, cherish our values, respect our laws, and always put AMERICA FIRST! Thank you for a wonderful evening!! #KAG2020 https://t.co/dNJZfRsl9y",False,False,Twitter for iPhone,73748,17404,2020-03-03T01:34:50Z,False,2020-03-03,0.879286788869649
3,1.3048751708600156e+18,"The Unsolicited Mail In Ballot Scam is a major threat to our Democracy, & the Democrats know it. Almost all recent elections using this system, even though much smaller &  with far fewer Ballots to count, have ended up being a disaster. Large numbers of missing Ballots & Fraud!",False,False,Twitter for iPhone,80527,23502,2020-09-12T20:10:58Z,False,2020-09-12,-0.8148104092106225
6,1.2236406626896896e+18,Getting a little exercise this morning! https://t.co/fyAAcbhbgk,False,False,Twitter for iPhone,285863,30209,2020-02-01T16:14:02Z,False,2020-02-01,0.5465606413781641
7,1.3195018656257843e+18,https://t.co/4qwCKQOiOw,False,False,Twitter for iPhone,130822,19127,2020-10-23T04:52:14Z,False,2020-10-23,-0.08212636411190033
8,1.3195005201266647e+18,https://t.co/VlEu8yyovv,False,False,Twitter for iPhone,153446,20275,2020-10-23T04:46:53Z,False,2020-10-23,-0.05686289817094803
9,1.3195005012690412e+18,https://t.co/z5CRqHO8vg,False,False,Twitter for iPhone,102150,14815,2020-10-23T04:46:49Z,False,2020-10-23,-0.06827003508806229
10,1.3195004863708774e+18,https://t.co/TQCQiDrVOB,False,False,Twitter for iPhone,255804,35594,2020-10-23T04:46:45Z,False,2020-10-23,-0.0194234922528268
14,1.2152479789669868e+18,Thank you Elise! https://t.co/Y4Hb0zf5jk,False,False,Twitter for iPhone,48510,11608,2020-01-09T12:24:31Z,False,2020-01-09,0.6331261768937111
15,1.3194912340422697e+18,"As per your request, Joe... https://t.co/78mzcfLEsF https://t.co/AalVkSfHFi",False,False,Twitter for iPhone,253761,79855,2020-10-23T04:09:59Z,False,2020-10-23,-0.008734598755836709
18,1.3459588517959516e+18,https://t.co/NmdLNsfDU2,False,False,Twitter for iPhone,95300,28318,2021-01-04T05:02:51Z,False,2021-01-04,0.06500066071748734
19,1.3258849771128832e+18,The threshold identification of Ballots is turning out to be even bigger than originally anticipated. A very large number of Ballots are impacted. Stay tuned!,False,False,Twitter for iPhone,493076,100609,2020-11-09T19:36:26Z,False,2020-11-09,-0.35485741123557113
20,1.3157799440021996e+18,"“I’m running as a proud Democrat, for the Senate”. Sleepy Joe Biden today. It’s only going to get worse. It is not sustainable for our County - China will own us!!!!",False,False,Twitter for iPhone,142084,32953,2020-10-12T22:22:39Z,False,2020-10-12,-0.1995588690042498
21,1.319683876046934e+18,"HUGE win today for the United States and for peace in the world. Sudan has agreed to a peace and normalization agreement with Israel! With the United Arab Emirates and Bahrain, that’s THREE Arab countries to have done so in only a matter of weeks. More will follow! https://t.co/UHB8H6oaZc",False,False,Twitter for iPhone,215994,51830,2020-10-23T16:55:29Z,False,2020-10-23,0.7661787774413822
23,1.3196558650839409e+18,Thank you Megyn! https://t.co/sC71EEWIOd,False,False,Twitter for iPhone,178163,24864,2020-10-23T15:04:10Z,False,2020-10-23,0.4628578834235666
24,1.319510534098735e+18,11 DAYS! #MAGA https://t.co/PuqeF1ctDs,False,False,Twitter for iPhone,197604,49800,2020-10-23T05:26:41Z,False,2020-10-23,-0.2717759683728218
26,1.325889532840063e+18,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",False,False,Twitter for iPhone,363489,78378,2020-11-09T19:54:33Z,True,2020-11-09,-0.6207665093243122
27,1.3459667157216748e+18,https://t.co/JEzkcjgLSy,False,False,Twitter for iPhone,83455,21427,2021-01-04T05:34:06Z,False,2021-01-04,0.012916885316371696
28,1.3258914906363208e+18,Wisconsin is looking very good. Needs a little time statutorily. Will happen soon! @Reince @SeanDuffyWI,False,False,Twitter for iPhone,347994,61006,2020-11-09T20:02:19Z,False,2020-11-09,0.5134532419033346
29,1.3200956285469e+18,"Nobody is showing up for Obama’s hate laced speeches. 47 people! No energy, but still better than Joe!",False,False,Twitter for iPhone,195132,33268,2020-10-24T20:11:38Z,False,2020-10-24,-0.8000828949734569
30,1.345967072006828e+18,https://t.co/2rLJfoKmSS,False,False,Twitter for iPhone,69095,19024,2021-01-04T05:35:31Z,False,2021-01-04,-0.06764751672744751
31,1.3459669757391913e+18,https://t.co/tuGfzK3QPE,False,False,Twitter for iPhone,99420,28624,2021-01-04T05:35:08Z,False,2021-01-04,-0.06636134535074234
32,1.3459693951479237e+18,https://t.co/PXNO26lpoZ,False,False,Twitter for iPhone,105704,27741,2021-01-04T05:44:45Z,False,2021-01-04,-0.032593391835689545
33,1.3258953809832755e+18,Pennsylvania prevented us from watching much of the Ballot count. Unthinkable and illegal in this country.,False,False,Twitter for iPhone,479292,81458,2020-11-09T20:17:47Z,True,2020-11-09,-0.9297302281484008
34,1.3200960060383803e+18,Just landed in Ohio. See you in a little while!,False,False,Twitter for iPhone,139153,14000,2020-10-24T20:13:08Z,False,2020-10-24,0.5441495105624197
